iter	Logloss
0	0.6572605133
1	0.622714138
2	0.5823693275
3	0.5383147717
4	0.502664423
5	0.4856126785
6	0.4670805931
7	0.4542297363
8	0.4405554771
9	0.4242589474
10	0.4144351006
11	0.3958340406
12	0.3745091915
13	0.3618612766
14	0.3520611048
15	0.3410268545
16	0.3335927486
17	0.3237183809
18	0.3205279827
19	0.3154511929
20	0.3023518324
21	0.2967541456
22	0.2857189655
23	0.277058363
24	0.2673373461
25	0.2597568274
26	0.2542096615
27	0.2491224289
28	0.2444731236
29	0.2405488968
30	0.2342446804
31	0.2311813831
32	0.2257815123
33	0.223172164
34	0.2209400892
35	0.2157320499
36	0.213196826
37	0.2056278706
38	0.1986314774
39	0.1939193249
40	0.1879534245
41	0.1845989227
42	0.181505847
43	0.1811243773
44	0.1772462368
45	0.1735060453
46	0.1727412224
47	0.1678501725
48	0.1660606027
49	0.1644864321
50	0.162302053
51	0.1574074268
52	0.1538712502
53	0.1522820115
54	0.1465236783
55	0.142163682
56	0.1398098946
57	0.136600244
58	0.1336280107
59	0.1307615638
60	0.1301824927
61	0.1275282741
62	0.1245373487
63	0.1229330063
64	0.1206593513
65	0.1182477713
66	0.1151903152
67	0.1124725342
68	0.1111152172
69	0.1094605446
70	0.1066197157
71	0.1044849873
72	0.1001969457
73	0.09833402634
74	0.09632978439
75	0.09324376583
76	0.09090235233
77	0.0873994112
78	0.08640735745
79	0.08485378623
80	0.08300714493
81	0.08194446564
82	0.07972613573
83	0.07709162831
84	0.07582893372
85	0.0745164454
86	0.07288780212
87	0.07088778019
88	0.06855506897
89	0.06652892828
90	0.06541054249
91	0.06312627792
92	0.06086373329
93	0.0594263196
94	0.0571077168
95	0.05636073351
96	0.05419200659
97	0.05172331333
98	0.05100221634
99	0.04960489273
100	0.0487991035
101	0.04797333479
102	0.04761885405
103	0.04699768722
104	0.04659136534
105	0.04635989368
106	0.04515461922
107	0.04437712431
108	0.04345888793
109	0.04268242121
110	0.04172234535
111	0.04108322859
112	0.04022770822
113	0.03984682262
114	0.0390982002
115	0.03877394795
116	0.03760882616
117	0.03669626117
118	0.03577080667
119	0.03536159694
120	0.03494781256
121	0.03449124098
122	0.03400196731
123	0.03335178494
124	0.03242174089
125	0.03180046082
126	0.03128625154
127	0.03061758876
128	0.02989262342
129	0.02943476439
130	0.0290882498
131	0.02899563313
132	0.02849137485
133	0.02800465822
134	0.02773803473
135	0.02727558017
136	0.02699389458
137	0.02654982209
138	0.02610933781
139	0.02564077973
140	0.02537410855
141	0.02503361702
142	0.02480586767
143	0.02438085824
144	0.02412219346
145	0.02388283014
146	0.02381581962
147	0.0236684978
148	0.023399508
149	0.02300443053
150	0.0226151228
151	0.02220515758
152	0.02179612964
153	0.02173148841
154	0.02134189606
155	0.02128342241
156	0.0209112227
157	0.02063490003
158	0.02035771459
159	0.02017263472
160	0.01983870566
161	0.01954254359
162	0.01921401024
163	0.01903369129
164	0.01876440346
165	0.0185237512
166	0.01837800741
167	0.01811597645
168	0.01790480465
169	0.01782257855
170	0.0176512599
171	0.01746158898
172	0.01723607928
173	0.01700309664
174	0.0168136701
175	0.01664171964
176	0.01647340506
177	0.01625103652
178	0.01611216664
179	0.01585409641
180	0.01570025384
181	0.01548688114
182	0.01529141068
183	0.01507127285
184	0.01495130211
185	0.01487015784
186	0.0146579653
187	0.01439604908
188	0.014232409
189	0.01405589581
190	0.01394682527
191	0.01377497315
192	0.01366219819
193	0.01362101883
194	0.01355786473
195	0.01346951127
196	0.01332518309
197	0.01312846392
198	0.01301892251
199	0.0128675133
200	0.01272547841
201	0.01256263852
202	0.01240511835
203	0.01227272898
204	0.01217296869
205	0.01198772788
206	0.01192194223
207	0.0118048504
208	0.01169959754
209	0.01168403104
210	0.01166919023
211	0.0115223363
212	0.01141964793
213	0.0113298133
214	0.01126763225
215	0.01117761433
216	0.01112620085
217	0.01101688743
218	0.01091892496
219	0.01084896177
220	0.01080356464
221	0.01068826169
222	0.01060328186
223	0.0105104886
224	0.01046777293
225	0.01037428528
226	0.0102890119
227	0.01024639308
228	0.01014546528
229	0.01012891755
230	0.0100530155
231	0.009934902191
232	0.009835661948
233	0.009821993113
234	0.009732637554
235	0.009656719863
236	0.009583076835
237	0.009530062973
238	0.009499394894
239	0.009476143122
240	0.009394212067
241	0.009370303899
242	0.009347826242
243	0.009306976199
244	0.00926989466
245	0.009241711348
246	0.009194268286
247	0.009176199138
248	0.009111760557
249	0.00907639116
250	0.009027448297
251	0.008971855044
252	0.008934056759
